header,content,is_substantive,function,topic,source_jurisdiction_type,state,city,county,enforcement_discretion,opacity,paternalism,problem_salience
### § 10.01 TITLE.,This codification of the general ordinances of Franklin County is declared to be the official County Code of Franklin County.,False,Context,,counties,id,,franklincounty,-2.064453125,-1.1181640625,-1.4990234375,-1.78515625
### § 10.02 ACCEPTANCE.,Any official copy of the code shall be received without further proof in all courts and in all administrative tribunals of the state.,True,Rules,Other,counties,id,,franklincounty,-1.34375,-1.291015625,-0.60693359375,-1.3583984375
# § 10.03 AMENDMENTS.,"(A) Any ordinance amending the code shall set forth the title, chapter, and section number of the section or sections to be amended.

(B) All such ordinances shall comply with the provisions of the code and Idaho Code Title 50, Chapter 9, regarding passage, execution, and publication of ordinances.

(C) All such amendments shall be promptly forwarded to the codifiers by the Clerk of the District Court and such ordinance shall be promptly published and inserted in its proper place in each copy of the county code.",True,Rules,Other,counties,id,,franklincounty,-1.2109375,0.09185791015625,-1.2392578125,-1.2939453125
# § 10.04 MAINTENANCE OF COUNTY CODE.,"Upon receipt of each published ordinance from the codifiers, the County Clerk shall promptly forward a copy of each page thereof to each person having an official copy of the county code. The County Clerk may collect a fee for each copy of the county code and an annual fee for maintenance thereof; provided, such fees shall be established by resolution or ordinance duly passed by the County Commission.",False,Process,,counties,id,,franklincounty,-1.140625,-0.79736328125,-1.0673828125,-1.37890625
# § 10.05 REPEAL OF GENERAL ORDINANCES.,"All general ordinances of the county are hereby repealed, except as herein specifically preserved or are, by implication, reserved from repeal, subject to the saving clauses herein contained, excluding without limitation, the special ordinances relating to the following subjects: tax levies; appropriation of public moneys; boundaries; annexations; franchises; ordinances granting special rights to persons or correspondence; contracts; issuance of warrants; public salaries; ordinances establishing name or vacating streets, alleys, or other public places; improvement districts; bonds; local elections; the sale or exchange of real estate; sign ordinances; economic development; urban renewal; public utilities; zoning; and all special ordinances of any kind, except for those provisions in such special ordinances which the code expressly amends.",True,Rules,Other,counties,id,,franklincounty,-1.3134765625,0.4755859375,-1.3662109375,-1.078125
# § 10.06 PUBLIC UTILITY ORDINANCES.,"No ordinance or section thereof relating to railroad or railroad crossings of streets and other public ways, or relating to the conduct, duties, service, or rates of public utilities, shall be repealed by the adoption of the code or by § 10.05 of this chapter, except as this code specifically provides for such repeal.",True,Rules,Other,counties,id,,franklincounty,-1.2392578125,-0.7041015625,-1.03125,-1.140625
# § 10.07 SAVING CLAUSE.,"Any ordinance amending or repealing any section of the code shall not be deemed or construed to abate any pending action based upon such amended or repealed section, nor shall the passage of such ordinance prevent the arrest, prosecution, and punishment of any violation of such section committed prior to the effective date of such ordinance.",True,Enforcement,Other,counties,id,,franklincounty,-0.73974609375,-0.75,-1.1123046875,-0.95556640625
# § 10.08 INTERPRETATION.,"Except as expressly stated in the code, all words shall have their ordinary, generally accepted meaning.",False,Context,,counties,id,,franklincounty,-1.033203125,-1.353515625,-0.54248046875,-1.443359375
# § 10.09 PLURAL AND SINGULAR WORDS.,"Whenever any word in the code is used in either the singular or in the plural form, then such word shall be deemed to include both the plural and singular forms of such word, unless the context indicates an intent otherwise.",False,Context,,counties,id,,franklincounty,-1.1259765625,-1.2529296875,-0.77392578125,-1.8251953125
# § 10.10 MASCULINE AND FEMININE GENDER.,"When any person is referred to in any section of the code by use of the masculine gender, then such reference shall be deemed to include the feminine gender unless the context indicates an intent otherwise.",False,Context,,counties,id,,franklincounty,-0.67431640625,-1.0947265625,-0.06182861328125,-1.2705078125
# § 10.11 PRIORITY OF ORDINANCE.,"In the event of any discrepancy or conflict between the code and any ordinance passing or amending the same section of the code, then the provisions of the ordinance shall prevail.",True,Rules,Other,counties,id,,franklincounty,-1.595703125,-0.6259765625,-1.3740234375,-1.4375
# § 10.12 DEFINITIONS.,"For the purpose of this code of ordinances, the following definitions shall apply unless the context clearly indicates or requires a different meaning.

**AGENT.** A person acting on behalf of another.

**BOARD OF COUNTY COMMISSIONERS.** The lawfully elected governing body of Franklin County, Idaho.

**COUNTY.** The County of Franklin.

**CRIME.** An act in violation of this code.

**FELONY.** A crime as defined under Idaho Code § 18-111.
**INFRACTION.** A civil public offense, not constituting a crime, which is punishable only by a penalty not exceeding $100 and for which no incarceration may be imposed.

**LICENSE.** The permission granted for the carrying on of a business, trade, profession, or occupation.

**MISDEMEANOR.** Every crime, except a felony.

**OCCUPANT.** Any person who occupies the whole or any part of such building or land, whether alone or with others.

**OFFENSE.** A crime or other violation of this code.

**OPERATOR.** The person who is generally in charge of or responsible for conducting any business, profession, or enterprise.

**OWNER.** Any person owning real or personal property, including any part owner, joint owner, tenant in common, joint tenant, remainderman, or person holding a life estate or reversionary interest of any kind.

**PERSON.** A human being and any public or private corporation, firm, partnership, trust, estate, sole proprietorship, association, organization, government, or any other entity recognized under state law.

**PERSONAL PROPERTY.** Money, goods, chattels, effects, rights in action, and all written instruments evidencing any pecuniary obligation.

**RIGHT-OF-WAY.** The privilege of the immediate use of the roadway or other property.

**STATE.** The State of Idaho.

**STREET.** All public roads, ways, alleys, and rights-of-way used for the movement of vehicular traffic, including any public sidewalks adjacent thereto.

**TENANT.** Any person who occupies any building or real property for a consideration to the owner.",False,Context,,counties,id,,franklincounty,1.63671875,0.54443359375,-0.347900390625,-0.329833984375
